nome_cientifico,reino,filo,classe,ordem,familia,genero,grupo_taxonomico
Cynolebias parnaibensis,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Cynolebias,peixes
Isotomiella uai,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Isotomidae,Isotomiella,outros
Melanophryniscus biancae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Melanophryniscus,anfibios
Melanorivulus interruptus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Melanorivulus,peixes
Metopiellus painensis,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Metopiellus,insetos
Ololygon faivovichi,Animalia,Chordata,Amphibia,Anura,Hylidae,Ololygon,anfibios
Crax fasciolata pinima,Animalia,Chordata,Aves,Galliformes,Cracidae,Crax,aves
Prognathodes obliquus,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Prognathodes,peixes
Myliobatis ridens,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,peixes
Psophia dextralis,Animalia,Chordata,Aves,Gruiformes,Psophiidae,Psophia,aves
Plecturocebus brunneus,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Plecturocebus,mamiferos
Spelaeobochica allodentatus,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Bochicidae,Spelaeobochica,aracnideos
Matilebias cyaneus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Matilebias,peixes
Simpulopsis wiebesi,Animalia,Mollusca,Gastropoda,Pulmonata,Simpulopsidae,Simpulopsis,moluscos
Sluysia triapertura,Animalia,Platyhelminthes,Rhabditophora,Tricladida,Uteriporidae,Sluysia,outros
Coarazuphium lundi,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Coarazuphium,insetos
Hypanus marianae,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Hypanus,peixes
Mycteroperca interstitialis,Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,Mycteroperca,peixes
Cynolebias elegans,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Cynolebias,peixes
Cylindroniscus platoi,Animalia,Arthropoda,Malacostraca,Isopoda,Styloniscidae,Cylindroniscus,crustaceos
Dendrocolaptes retentus,Animalia,Chordata,Aves,Passeriformes,Dendrocolaptidae,Dendrocolaptes,aves
Brasiliscincus caissara,Animalia,Chordata,Reptilia,Squamata,Mabuyidae,Brasiliscincus,repteis
Melanophryniscus macrogranulosus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Melanophryniscus,anfibios
Hydropsalis candicans,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Hydropsalis,aves
Hypsolebias ghisolfii,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Euglossa cyanochlora,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Euglossa,insetos
Rhegmatorhina gymnops,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Rhegmatorhina,aves
Bothrops otavioi,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,repteis
Lonchophylla bokermanni,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Lonchophylla,mamiferos
Spelaeobochica muchmorei,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Bochicidae,Spelaeobochica,aracnideos
Megalobulimus proclivis,Animalia,Mollusca,Gastropoda,Stylommatophora,Strophocheilidae,Megalobulimus,moluscos
Simpsonichthys punctulatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Simpsonichthys,peixes
Fimoscolex sporadochaetus,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Fimoscolex,outros
Listrura nematopteryx,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Listrura,peixes
Mobula tarapacana,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae,Mobula,peixes
Acrolebias carvalhoi,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Acrolebias,peixes
Lophornis gouldii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lophornis,aves
Colibri delphinae greenewalti,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Colibri,aves
Sphyrna gilberti,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,peixes
Garcialebias botocudo,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Garcialebias,peixes
Potamotrygon marquesi,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Potamotrygonidae,Potamotrygon,peixes
Hypsolebias picturatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Potamotrygon leopoldi,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Potamotrygonidae,Potamotrygon,peixes
Leopardus colocola,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,mamiferos
Melanorivulus amambaiensis,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Melanorivulus,peixes
Simpsonichthys parallelus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Simpsonichthys,peixes
Arrhopalites glabrofasciatus,Animalia,Arthropoda,Entognatha,Symphypleona,Arrhopalitidae,Arrhopalites,outros
Hypsolebias macaubensis,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Troglobius ferroicus,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Paronellidae,Troglobius,outros
Thaumastus lundi,Animalia,Mollusca,Gastropoda,Pulmonata,Bulimulidae,Thaumastus,moluscos
Diplodon fontainianus,Animalia,Mollusca,Bivalvia,Unionida,Hyriidae,Diplodon,moluscos
Ctenomys ibicuiensis,Animalia,Chordata,Mammalia,Rodentia,Ctenomyidae,Ctenomys,mamiferos
Hyalella formosa,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,crustaceos
Simpsonichthys espinhacensis,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Simpsonichthys,peixes
Cassidulus mitis,Animalia,Echinodermata,Echinoidea,Cassiduloida,Cassidulidae,Cassidulus,outros
Hypancistrus zebra,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hypancistrus,peixes
Notholebias fractifasciatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Notholebias,peixes
Stegastes rocasensis,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Stegastes,peixes
Cypholebias cinereus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Cypholebias,peixes
Campellolebias brucei,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Campellolebias,peixes
Heterodactylus lundii,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Heterodactylus,repteis
Dichotomius mysticus,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Dichotomius,insetos
Melipona capixaba,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Melipona,insetos
Blastocerus dichotomus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Blastocerus,mamiferos
Seborgia potiguar,Animalia,Arthropoda,Malacostraca,Amphipoda,Seborgiidae,Seborgia,crustaceos
Altitatiayus godinhorum,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Altitatiayus,insetos
Hasemania maxillaris,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Hasemania,peixes
Stichelia pelotensis,Animalia,Arthropoda,Insecta,Lepidoptera,Riodinidae,Stichelia,insetos
Leopardus braccatus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,mamiferos
Synallaxis kollari,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Synallaxis,aves
Xylophanes mielkei,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Xylophanes,insetos
Coarazuphium cessaima,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Coarazuphium,insetos
Gonyostomus insularis,Animalia,Mollusca,Gastropoda,Stylommatophora,Strophocheilidae,Gonyostomus,moluscos
Pararrhopalites papaveroi,Animalia,Arthropoda,Entognatha,Symphypleona,Sminthuridae,Pararrhopalites,outros
Rhopalothrix plaumanni,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Rhopalothrix,insetos
Leptopanchax itanhaensis,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Leptopanchax,peixes
Hyperaulax ridleyi,Animalia,Mollusca,Gastropoda,Stylommatophora,Odontostomidae,Hyperaulax,moluscos
Conopophaga cearae,Animalia,Chordata,Aves,Passeriformes,Conopophagidae,Conopophaga,aves
Notorynchus cepedianus,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Notorynchus,peixes
Cnipodectes superrufus,Animalia,Chordata,Aves,Passeriformes,Rhynchocyclidae,Cnipodectes,aves
Trogolaphysa barroca,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Paronellidae,Trogolaphysa,outros
Hippocampus reidi,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,peixes
Scarus trispinosus,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Scarus,peixes
Campylopterus calcirupicola,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Campylopterus,aves
Crossodactylus dispar,Animalia,Chordata,Amphibia,Anura,Hylodidae,Crossodactylus,anfibios
Hypsolebias fulminantis,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Phalloptychus iheringii,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Phalloptychus,peixes
Ybyrapora diversipes,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Ybyrapora,aracnideos
Typhochlaena seladonia,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Typhochlaena,aracnideos
Lepidocharax diamantina,Animalia,Chordata,Actinopterygii,Characiformes,Stevardiidae,Lepidocharax,peixes
Parides ascanius,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parides,insetos
Matilebias paucisquama,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Matilebias,peixes
Myrmoderus ruficauda,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Myrmoderus,aves
Tayassu pecari,Animalia,Chordata,Mammalia,Artiodactyla,Tayassuidae,Tayassu,mamiferos
Epiperipatus ohausi,Animalia,Onychophora,Onychophora,Euonychophora,Peripatidae,Epiperipatus,outros
Nematocharax varii,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Nematocharax,peixes
Cycloramphus faustoi,Animalia,Chordata,Amphibia,Anura,Cycloramphidae,Cycloramphus,anfibios
Trigonectes strigabundus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Trigonectes,peixes
Hypsolebias alternatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Matilebias camaquensis,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Matilebias,peixes
Pseudonannolene lundi,Animalia,Arthropoda,Diplopoda,Spirostreptida,Pseudonannolenidae,Pseudonannolene,outros
Hippocampus erectus,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,peixes
Phyllomys centralis,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Phyllomys,mamiferos
Atractus caete,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Atractus,repteis
Arlea arenicola,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Isotomidae,Arlea,outros
Sparisoma frondosum,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Sparisoma,peixes
Hypsolebias hamadryades,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Brycon vonoi,Animalia,Chordata,Actinopterygii,Characiformes,Bryconidae,Brycon,peixes
Spelunconiscus castroi,Animalia,Arthropoda,Malacostraca,Isopoda,Styloniscidae,Spelunconiscus,crustaceos
Megalobulimus fragilior,Animalia,Mollusca,Gastropoda,Stylommatophora,Strophocheilidae,Megalobulimus,moluscos
Amphisbaena persephone,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Physalaemus soaresi,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Physalaemus,anfibios
Psilops mucugensis,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Psilops,repteis
Calyptommatus leiolepis,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Calyptommatus,repteis
Alexandresaurus camacan,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Alexandresaurus,repteis
Procellaria aequinoctialis,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,aves
Elacatinus figaro,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Elacatinus,peixes
Coarazuphium xikrin,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Coarazuphium,insetos
Pyrrhura perlata,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,aves
Pyrrhura coerulescens,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,aves
Alouatta guariba clamitans,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,mamiferos
Anodorhynchus hyacinthinus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Anodorhynchus,aves
Aegla cavernicola,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Thalassarche chlororhynchos,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,aves
Cynolebias gorutuba,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Cynolebias,peixes
Granatellus pelzelni paraensis,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Granatellus,aves
Altitatiayus dulceae,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Altitatiayus,insetos
Alouatta belzebul,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,mamiferos
Diopatra victoriae,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra,outros
Hylopezus paraensis,Animalia,Chordata,Aves,Passeriformes,Grallariidae,Hylopezus,aves
Trinomys yonenagae,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Trinomys,mamiferos
Lepidochelys olivacea,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,repteis
Pterodroma incerta,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,aves
Otophidium chickcharney,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,Otophidium,peixes
Austrolebias ephemerus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Austrolebias,peixes
Eukoenenia virgemdalapa,Animalia,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Eukoenenia,aracnideos
Garcialebias lourenciano,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Garcialebias,peixes
Hypsolebias gibberatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Pteroglossus bitorquatus bitorquatus,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Pteroglossus,aves
Pectenoniscus sepultus,Animalia,Arthropoda,Malacostraca,Isopoda,Styloniscidae,Pectenoniscus,crustaceos
Synapterpes hanleyi,Animalia,Mollusca,Gastropoda,Pulmonata,Subulinidae,Synapterpes,moluscos
Hypsolebias flammeus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Amphisbaena heathi,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Archisotoma arariboia,Animalia,Arthropoda,Entognatha,Collembola,Isotomidae,Archisotoma,outros
Carcharhinus acronotus,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,peixes
Hyphessobrycon duragenys,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Hyphessobrycon,peixes
Scartella poiti,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Scartella,peixes
Ochyrocera ibitipoca,Animalia,Arthropoda,Arachnida,Araneae,Ochyroceratidae,Ochyrocera,aracnideos
Ololygon peixotoi,Animalia,Chordata,Amphibia,Anura,Hylidae,Ololygon,anfibios
Leposoma nanodactylus,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Leposoma,repteis
Phaethornis margarettae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Phaethornis,aves
Hypsolebias mediopapillatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Guaruba guarouba,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Guaruba,aves
Celeus flavus subflavus,Animalia,Chordata,Aves,Piciformes,Picidae,Celeus,aves
Thunnus thynnus,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,peixes
Trichogenes claviger,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Trichogenes,peixes
Eukoenenia jequitinhonha,Animalia,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Eukoenenia,aracnideos
Pimelodella kronei,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Pimelodella,peixes
Pseudochthonius limettioides,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Chthoniidae,Pseudochthonius,aracnideos
Hollandichthys taramandahy,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Hollandichthys,peixes
Xenurolebias myersi,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Xenurolebias,peixes
Brachycephalus mirissimus,Animalia,Chordata,Amphibia,Anura,Brachycephalidae,Brachycephalus,anfibios
Trogolaphysa chapelensis,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Paronellidae,Trogolaphysa,outros
Monasa morphoeus morphoeus,Animalia,Chordata,Aves,Galbuliformes,Bucconidae,Monasa,aves
Antilophia bokermanni,Animalia,Chordata,Aves,Passeriformes,Pipridae,Antilophia,aves
Enyalius erythroceneus,Animalia,Chordata,Reptilia,Squamata,Leiosauridae,Enyalius,repteis
Iodopleura pipra pipra,Animalia,Chordata,Aves,Passeriformes,Tityridae,Iodopleura,aves
Arhysosage flava,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Arhysosage,insetos
Cyclopes rufus,Animalia,Chordata,Mammalia,Pilosa,Cyclopedidae,Cyclopes,mamiferos
Hypsolebias longignatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Laterallus xenopterus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Laterallus,aves
Astyanax brucutu,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Astyanax,peixes
Coleodactylus natalensis,Animalia,Chordata,Reptilia,Squamata,Sphaerodactylidae,Coleodactylus,repteis
Coryphistera alaudina,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Coryphistera,aves
Proceratophrys ararype,Animalia,Chordata,Amphibia,Anura,Odontophrynidae,Proceratophrys,anfibios
Leposternon mineiro,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Leposternon,repteis
Piculus polyzonus,Animalia,Chordata,Aves,Piciformes,Picidae,Piculus,aves
Bothrops itapetiningae,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,repteis
Morpho epistrophus nikolajewna,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Morpho,insetos
Ateles marginatus,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,mamiferos
Rhipidomys cariri,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Rhipidomys,mamiferos
Isotogastrura mucrospatulata,Animalia,Arthropoda,Entognatha,Symphypleona,Arrhopalitidae,Isotogastrura,outros
Myrmotherula urosticta,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Myrmotherula,aves
Cynopoecilus multipapillatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Cynopoecilus,peixes
Pyrrhura anerythra,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,aves
Melanorivulus rutilicaudus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Melanorivulus,peixes
Pempheris gasparinii,Animalia,Chordata,Actinopterygii,Perciformes,Pempheridae,Pempheris,peixes
Minagrion canaanense,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Minagrion,insetos
Crossodactylus boulengeri,Animalia,Chordata,Amphibia,Anura,Hylodidae,Crossodactylus,anfibios
Trinomys moojeni,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Trinomys,mamiferos
Arrhopalites paranaensis,Animalia,Arthropoda,Entognatha,Symphypleona,Arrhopalitidae,Arrhopalites,outros
Ophthalmolebias constanciae,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Ophthalmolebias,peixes
Hypsolebias rufus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Attila spadiceus uropygiatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Attila,aves
Metopioxys carajas,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Metopioxys,insetos
Epinephelus marginatus,Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,Epinephelus,peixes
Corallus cropanii,Animalia,Chordata,Reptilia,Squamata,Boidae,Corallus,repteis
Parotocinclus spilurus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Parotocinclus,peixes
Arrhopalites gnaspinii,Animalia,Arthropoda,Entognatha,Symphypleona,Arrhopalitidae,Arrhopalites,outros
Cavia intermedia,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Cavia,mamiferos
Carcharhinus signatus,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,peixes
Bothrops insularis,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,repteis
Enneanectes smithi,Animalia,Chordata,Actinopterygii,Blenniiformes,Tripterygiidae,Enneanectes,peixes
Trinomys eliasi,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Trinomys,mamiferos
Pristis pristis,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Pristidae,Pristis,peixes
Castalia martensi,Animalia,Mollusca,Bivalvia,Unionida,Hyriidae,Castalia,moluscos
Pseudonannolene tocaiensis,Animalia,Arthropoda,Diplopoda,Spirostreptida,Pseudonannolenidae,Pseudonannolene,outros
Ancistrus formoso,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,peixes
Parides bunichus chamissonia,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parides,insetos
Leila blainvilliana,Animalia,Mollusca,Bivalvia,Unionida,Mycetopodidae,Leila,moluscos
Cyphorhinus griseolateralis,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cyphorhinus,aves
Arrhopalites amorimi,Animalia,Arthropoda,Entognatha,Symphypleona,Arrhopalitidae,Arrhopalites,outros
Glaucomastix cyanura,Animalia,Chordata,Reptilia,Squamata,Teiidae,Glaucomastix,repteis
Hyalella imbya,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,crustaceos
Bradypus torquatus,Animalia,Chordata,Mammalia,Pilosa,Bradypodidae,Bradypus,mamiferos
Eukoenenia potiguar,Animalia,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Eukoenenia,aracnideos
Ozotoceros bezoarticus bezoarticus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Ozotoceros,mamiferos
Macrostrombus costatus,Animalia,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Macrostrombus,moluscos
Lagothrix lagothricha cana,Animalia,Chordata,Mammalia,Primates,Atelidae,Lagothrix,mamiferos
Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,repteis
Urubitinga coronata,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Urubitinga,aves
Diomedea dabbenena,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,aves
Parides panthonus castilhoi,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parides,insetos
Whiteheadiana thaisae,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Whiteheadiana,insetos
Sphyrna tiburo,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,peixes
Saguinus bicolor,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,mamiferos
Celeus torquatus tinnunculus,Animalia,Chordata,Aves,Piciformes,Picidae,Celeus,aves
Proceratophrys palustris,Animalia,Chordata,Amphibia,Anura,Odontophrynidae,Proceratophrys,anfibios
Hypomasticus santanai,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Hypomasticus,peixes
Aegla rosanae,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Ateles belzebuth,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,mamiferos
Cichlopsis leucogenys,Animalia,Chordata,Aves,Passeriformes,Turdidae,Cichlopsis,aves
Astropecten marginatus,Animalia,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Astropecten,outros
Sporophila maximiliani,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,aves
