nome_cientifico,nome_popular
Spiripockia punctata,
Ophthalmolebias perpendicularis,Peixe-anual
Adebrotus lugoi,
Millepora laboreli,
Caretta caretta,Careba Amarela
Thalurania watertonii,
Garcialebias nubium,
Garcialebias arachan,
Carcharhinus brevipinna,
Carcharhinus porosus,Cação Azeiteiro
Ophiodes enso,
Urotrygon microphthalmum,
Sternarchorhynchus villasboasi,Sarapó
Genidens planifrons,
Kryptolebias gracilis,
Atlantirivulus nudiventris,
Nematolebias papilliferus,Peixe-anual
Odontophorus capueira plumbeicollis,
Callicebus coimbrai,Guigó
Cynopoecilus feltrini,
Scytalopus novacapitalis,
Apostolepis striata,Cobra-rainha estriada
Echinanthera cephalomaculata,
Neomorphus geoffroyi amazonicus,
Hemitriccus mirandae,
Aegla georginae,
Iodopleura pipra leucopygia,
Anodorhynchus leari,
Sclerurus cearensis,
Bothrops muriciensis,Jararacuçu de Murici
Anumara forbesi,
Placosoma cipoense,
Phylloscartes ceciliae,
Adelophryne maranguapensis,
Puffinus lherminieri,
Sphaenorhynchus bromelicola,
Helicops boitata,
Franciscobasis franciscoi,
Aegla brevipalma,
Furipterus horrens,
Circus cinereus,
Titanolebias cheradophilus,
Homonota uruguayensis,
Garcialebias nigrofasciatus,Peixe-anual
Nematolebias whitei,Peixe-anual
Carcharhinus longimanus,Marracho
Amphisbaena arda,Cobra-de-duas-cabeças
Mimagoniates sylvicola,Piaba
Rodriguesophis chui,Muçurana-nariguda das dunas
Amphisbaena metallurga,
Cynolebias akroa,
Moema piriana,Peixe-anual
Pogonopoma obscurum,Cascudo-preto
Podocnemis sextuberculata,Iaçá
Myliobatis freminvillei,
Amphisbaena saxosa,Cobra-de-duas-cabeças
Colossoma macropomum,Tambaqui
Pseudotocinclus tietensis,Cascudinho
Ophthalmolebias suzarti,Peixe-anual
Tomigerus gibberulus,
Diomedea sanfordi,
Sphyrna tudes,Caranguejeira
Campellolebias chrysolineatus,Peixe-anual
Phrynomedusa marginata,
Mustelus canis,
Rachoviscus crassiceps,Lambari-da-restinga
Rhegmatorhina hoffmannsi,
Hypsolebias tocantinensis,Peixe-anual
Aegla charon,
Hypsolebias harmonicus,Peixe-anual
Plecturocebus grovesi,
Chlorosoma laticeps,
Elaenia ridleyana,
Aegla loyolai,
Lepidothrix vilasboasi,
Thamnophilus aethiops distans,
Hypsolebias splendissimus,
Cyanocorax hafferi,
Kerodon acrobata,
Brachyteles hypoxanthus,Muriqui-do Norte
Hylodes mertensi,
Anthus nattereri,
Gymnolebias jaegari,Peixe-anual
Carcharhinus obscurus,
Crossodactylodes izecksohni,
Amazona rhodocorytha,
Physeter macrocephalus,Cachalote
Ameivula cipoensis,
Leptopanchax citrinipinnis,Peixe-anual
Campylorhamphus multostriatus,
Phaethon lepturus,
Leptodon forbesi,
Sporophila frontalis,
Celeus galeatus,
Hermanella nigra,
Aegla franca,
Ischnocnema epipeda,
Halichoeres rubrovirens,Budião-de-Trindade
Formicivora erythronotos,
Phyllomyias reiseri,
Johngarthia lagostoma,
Forcepsioneura machadorum,
Matilebias alexandri,
Isbrueckerichthys saxicola,Cascudo
Aegla renana,
Coleodactylus elizae,
Tropidurus mucujensis,
Terenura sicki,
Steindachneridion melanodermatum,Surubim-do-iguaçu
Amphisbaena nigricauda,Cobra-de-duas-cabeças
Holoaden bradei,
Lagothrix lagothricha lagothricha,
Squatina occulta,
Monocondylaea franciscana,
Hypsolebias hellneri,Peixe-anual
Acrobatornis fonsecai,
Scytalopus iraiensis,
Ancistrus minutus,Bodó-seda
Alectrurus tricolor,
Selenidera gouldii baturitensis,
Hypsolebias delucai,Peixe-anual
Squatina guggenheim,
Synallaxis infuscata,
Rhopornis ardesiacus,
Parastacus tuerkayi,
Hypsolebias shibattai,
Hypsolebias flavicaudatus,Peixe-anual
Glossoscolex matogrossensis,Minhoca
Callicebus nigrifrons,Guigó
Leontopithecus chrysomelas,Mico-leão-de-cara-dourada
Ameiva parecis,Calango
Philodryas livida,
Thamnophilus nigrocinereus huberi,
Melanorivulus leali,
Leposoma puk,
Hypsolebias lopesi,Peixe-anual
Ginglymostoma cirratum,Cação-lixa
Ozotoceros bezoarticus leucogaster,Veado
Chiasmocleis alagoana,
Scriptosaura catimbau,
Tinamus tao,
Trichomycterus dali,Bagrinho-cego-da-serra-da-bodoquena
Ophthalmolebias rosaceus,Peixe-anual
Bothrops sazimai,
Glossoscolex riograndensis,Minhocas
Sapajus cay,Macaco Prego
Penelope jacucaca,
Malacoptila minor,
Ctenomys flamarioni,
Chelonoidis carbonarius,Jabuti-Vermelho
Crenicichla jupiaensis,Joaninha
Crax blumenbachii,
Macrobrachium denticulatum,
Amphisbaena tiaraju,
Xipholena lamellipennis,
Atlantirivulus maricensis,
Phrynops williamsi,Cágado-de-Ferradura
Mycetopoda legumen,
Myliobatis goodei,
Microglanis robustus,
Makaira nigricans,
Phyllomys brasiliensis,
Crax globulosa,
Scytalopus gonzagai,
Burhinus bistriatus,
Xenohyla truncata,
Apostolepis arenaria,Cobra-rainha do São Francisco
Lopholatilus villarii,Peixe-batata
Pterodroma madeira,
Callithrix aurita,Sagüi-da-serra-escuro
Sparisoma axillare,
Lebiasina marilynae,
Limnodromus griseus,
Pyrrhura cruentata,
Austrolebias univentripinnis,
Listrura depinnai,
Rachoviscus graciliceps,Lambari
Sphaenorhynchus cammaeus,
Conopophaga lineata lineata,
Panthera onca,Onca
Conothraupis mesoleuca,
Geositta poeciloptera,
Amphisbaena arenaria,Cobra-de-duas-cabeças
Bokermannohyla napolii,
Archolaemus santosi,
Atlantoraja castelnaui,
Fregata minor,
Sporophila nigrorufa,
Kryptolebias brasiliensis,
Glaucomastix littoralis,Calango
Pyrrhura lepida,
Crossodactylus franciscanus,
Priodontes maximus,Tatu-Canastra
Tapirus terrestris,Anta
Rhipidodonta garbei,
Pogonias courbina,
Pampasatyrus glaucope eberti,
Sternarchorhynchus kokraimoro,Sarapó
Apostolepis quirogai,
Pampasatyrus glaucope boenninghauseni,
Starksia multilepis,
Ctenomys lami,
Sclerurus caudacutus umbretta,
Sternarchorhynchus higuchii,Sarapó
Pterodroma deserta,
Steindachneridion scriptum,Bocudo
Campellolebias intermedius,Peixe-anual
Oligoneuria amandae,
Ctenomys minutus,
Formicivora paludicola,
Hemitriccus kaempferi,
Bokermannohyla vulcaniae,
Hyphessobrycon taurocephalus,Lambari
Stegastes trindadensis,
Phrynomedusa vanzolinii,
Aegla okora,
Odontesthes bicudo,Peixe-rei-bicudo
Mobula birostris,
Steindachneridion parahybae,Surubim-do-paraíba
Dermochelys coriacea,Tartaruga-de-casco-mole
Pseudobatos horkelii,
Myrmotherula minor,
Syndactyla ucayalae,
Epiperipatus adenocryptus,
Ololygon muriciensis,
Hypsolebias faouri,
Alouatta guariba guariba,Barbado
Epiperipatus paurognostus,
Sparisoma amplum,
Trichomycterus itacarambiensis,Bagrinho-de-caverna
Atelocynus microtis,Cachorro-do-mato-de-orelhas-curtas
Hippocampus patagonicus,
Brachycephalus pernix,
Ituglanis passensis,Bagrinho-de-caverna
Camelobaetidius juparana,
Coendou speratus,Coandu-mirim
Hypsolebias radiseriatus,
Megalobulimus cardosoi,
Hypsolebias nielseni,Peixe-anual
Hypsolebias auratus,Peixe-anual
Callicebus barbarabrownae,Guigó-da-caatinga
