nome_cientifico,nome_popular,reino,filo,classe,ordem,familia,genero,grupo_taxonomico
Sphyrna zygaena,Tubarão Martelo,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,peixes
Pararrhopalites ubiquum,,Animalia,Arthropoda,Entognatha,Symphypleona,Sminthuridae,Pararrhopalites,outros
Girardia spelaea,,Animalia,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,Girardia,outros
Hylodes sazimai,,Animalia,Chordata,Amphibia,Anura,Hylodidae,Hylodes,anfibios
Celeus obrieni,pica-pau-da-taboca,Animalia,Chordata,Aves,Piciformes,Picidae,Celeus,aves
Harmonicon cerberus,,Animalia,Arthropoda,Arachnida,Araneae,Dipluridae,Harmonicon,aracnideos
Apostolepis phillipsi,,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Apostolepis,repteis
Ophthalmolebias ilheusensis,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Ophthalmolebias,peixes
Mesaphorura maricaensis,,Animalia,Arthropoda,Entognatha,Symphypleona,Arrhopalitidae,Mesaphorura,outros
Hasemania piatan,Piaba,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Hasemania,peixes
Maxchernes iporangae,falso escorpião,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Chernetidae,Maxchernes,aracnideos
Pristis pectinata,Espadarte-serra,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Pristidae,Pristis,peixes
Melanorivulus pinima,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Melanorivulus,peixes
Colobodactylus dalcyanus,Lagartinho-do-folhedo,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Colobodactylus,repteis
Allokoenenia canhembora,,Animalia,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Allokoenenia,aracnideos
Hypleurochilus brasil,Blênio-mirim,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Hypleurochilus,peixes
Trichechus manatus,Peixe-boi das Américas,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,mamiferos
Leposoma baturitensis,,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Leposoma,repteis
Endecous apterus,,Animalia,Arthropoda,Insecta,Orthoptera,Phalangopsidae,Endecous,insetos
Eukoenenia cavatica,,Animalia,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Eukoenenia,aracnideos
Amphisbaena supernumeraria,Cobra-de-duas-cabeças,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Aburria jacutinga,jacutinga,Animalia,Chordata,Aves,Galliformes,Cracidae,Aburria,aves
Hyporthodus nigritus,Cherne negro,Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,Hyporthodus,peixes
Centris thelyopsis,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Centris,insetos
Garcialebias cheffei,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Garcialebias,peixes
Oncinocampa trajanoae,,Animalia,Arthropoda,Entognatha,Diplura,Campodeidae,Oncinocampa,outros
Eukoenenia maquinensis,,Animalia,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Eukoenenia,aracnideos
Hylodes magalhaesi,,Animalia,Chordata,Amphibia,Anura,Hylodidae,Hylodes,anfibios
Phaneromerium troglopterygotum,,Animalia,Arthropoda,Diplopoda,Polydesmida,Trichopolydesmidae,Phaneromerium,outros
Garcialebias nachtigalli,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Garcialebias,peixes
Trichechus inunguis,Peixe-boi Amazónico,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,mamiferos
Crossodactylodes itambe,,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Crossodactylodes,anfibios
Coarazuphium tapiaguassu,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Coarazuphium,insetos
Aegla inconspicua,Egla,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Psilops seductus,,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Psilops,repteis
Strix huhula albomarginata,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,aves
Ancistrus cryptophthalmus,Cascudinho-de-caverna,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,peixes
Phalotris multipunctatus,Fura-terra pintada,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Phalotris,repteis
Ochyrocera ritxoco,,Animalia,Arthropoda,Arachnida,Araneae,Ochyroceratidae,Ochyrocera,aracnideos
Sclerurus caudacutus caligineus,Vira-folha-pardo-do-nordeste,Animalia,Chordata,Aves,Passeriformes,Scleruridae,Sclerurus,aves
Callistomys pictus,rato-do-cacau,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,Callistomys,mamiferos
Cebus kaapori,Caiarara ka’apor,Animalia,Chordata,Mammalia,Primates,Cebidae,Cebus,mamiferos
Amydetes bellorum,,Animalia,Arthropoda,Insecta,Coleoptera,Lampyridae,Amydetes,insetos
Acantholebias quirogai,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Acantholebias,peixes
Pseudochthonius diamachi,falso escorpião,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Chthoniidae,Pseudochthonius,aracnideos
Drymusa spelunca,,Animalia,Arthropoda,Arachnida,Araneae,Drymusidae,Drymusa,aracnideos
Rodriguesophis scriptorcibatus,Muçurana-nariguda do São Francisco,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Rodriguesophis,repteis
Nyceryx mielkei,mariposa,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Nyceryx,insetos
Calidris canutus,Seixoeira,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,aves
Platyrinchus leucoryphus,bico-chato-d'asa-ruiva,Animalia,Chordata,Aves,Passeriformes,Platyrinchidae,Platyrinchus,aves
Neomorphus geoffroyi geoffroyi,,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Neomorphus,aves
Erebonyx catacumbae,,Animalia,Arthropoda,Insecta,Orthoptera,Phalangopsidae,Erebonyx,insetos
Cynolebias griseus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Cynolebias,peixes
Cryptops iporangensis,,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Cryptopidae,Cryptops,outros
Altitatiayus campoi,,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Altitatiayus,insetos
Carcharhinus leucas,Cação-fidalgo,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,peixes
Conorhynchos conirostris,Pirá,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Conorhynchos,peixes
Phaethornis major,,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Phaethornis,aves
Hypsolebias stellatus,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Steindachneridion amblyurum,Surubim-do-jequitinhonha,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Steindachneridion,peixes
Tropidurus hygomi,Calango,Animalia,Chordata,Reptilia,Squamata,Tropiduridae,Tropidurus,repteis
Actenosigynes mantiqueirensis,,Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae,Actenosigynes,insetos
Hyphessobrycon cantoi,,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,peixes
Ochyrocera rosinha,,Animalia,Arthropoda,Arachnida,Araneae,Ochyroceratidae,Ochyrocera,aracnideos
Hypanus berthalutzae,Raia de Pedra,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Hypanus,peixes
Pyrrhura amazonum,periquitão-de-santarém,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,aves
Trogon collaris eytoni,,Animalia,Chordata,Aves,Trogoniformes,Trogonidae,Trogon,aves
Knipolegus franciscanus,caça-moscas-preto-nordestino,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Knipolegus,aves
Schiffornis turdina intermedia,Flautim-marrom,Animalia,Chordata,Aves,Passeriformes,Tityridae,Schiffornis,aves
Dactyloa pseudotigrina,,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Dactyloa,repteis
Fluminagrion taxaense,libélula,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Fluminagrion,insetos
Leporinus pitingai,Aracu,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Leporinus,peixes
Altitatiayus rotundatus,,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Altitatiayus,insetos
Melanophryniscus admirabilis,Sapinho-admirável-de-barriga-vermelha,Animalia,Chordata,Amphibia,Anura,Bufonidae,Melanophryniscus,anfibios
Achirus mucuri,Linguado-mucuri,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Achiridae,Achirus,peixes
Teleocichla centisquama,Sabãozinho,Animalia,Chordata,Actinopterygii,Cichliformes,Cichlidae,Teleocichla,peixes
Bathytoshia centroura,raia prego espinhosa,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Bathytoshia,peixes
Apostolepis vittata,Cobrinha-da-Terra,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Apostolepis,repteis
Hypsolebias igneus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Eubalaena australis,Baleia Franca Austral,Animalia,Chordata,Mammalia,Artiodactyla,Balaenidae,Eubalaena,mamiferos
Tangara cyanocephala cearensis,,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Tangara,aves
Thalasseus acuflavidus,garajau-de-cabot,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,aves
Poecilia pertapeh,Animal,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,peixes
Hypsolebias gilbertobrasili,Peixe anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Bothrops germanoi,jararaca-da-moela,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,repteis
Brasilomma enigmatica,,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,Brasilomma,aracnideos
Characidium vestigipinne,Canivete,Animalia,Chordata,Actinopterygii,Characiformes,Crenuchidae,Characidium,peixes
Girardia desiderensis,,Animalia,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,Girardia,outros
Cerradopatus sucuriuensis,,Animalia,Onychophora,Not assigned,Not assigned,Peripatidae,Cerradopatus,outros
Scarus zelindae,Aipimixira,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Scarus,peixes
Seira arenicola,,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Entomobryidae,Seira,outros
Scartella itajobi,Blênio-itajobi,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Scartella,peixes
Megagidiella azul,,Animalia,Arthropoda,Malacostraca,Amphipoda,Bogidiellidae,Megagidiella,crustaceos
Lepidocolaptes wagleri,Arapaçus,Animalia,Chordata,Aves,Passeriformes,Dendrocolaptidae,Lepidocolaptes,aves
Lophiosilurus alexandri,Pacamã,Animalia,Chordata,Actinopterygii,Siluriformes,Pseudopimelodidae,Lophiosilurus,peixes
Merulaxis stresemanni,Entufado-baiano,Animalia,Chordata,Aves,Passeriformes,Rhinocryptidae,Merulaxis,aves
Nyctibius leucopterus,nictíbio-d'asa-branca,Animalia,Chordata,Aves,Nyctibiiformes,Nyctibiidae,Nyctibius,aves
Parancistrus nudiventris,,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Parancistrus,peixes
Polyprion americanus,Cherna,Animalia,Chordata,Actinopterygii,Acropomatiformes,Polyprionidae,Polyprion,peixes
Atlantirivulus lazzarotoi,Rivúlo-tímido,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Atlantirivulus,peixes
Ranacephala hogei,Cágado-de-Hogei,Animalia,Chordata,Reptilia,Testudines,Chelidae,Ranacephala,repteis
Procnias averano averano,Araponga-de-barbela,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Procnias,aves
Atlantoraja cyclophora,Raia-santa,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Atlantoraja,peixes
Carajas paraua,,Animalia,Arthropoda,Arachnida,Araneae,Caponiidae,Carajas,aracnideos
Leptasthenura platensis,Rabudinho,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Leptasthenura,aves
Gubernatrix cristata,cardeal-amarelo,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Gubernatrix,aves
Steindachneridion punctatum,,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Steindachneridion,peixes
Neomorphus geoffroyi dulcis,Jacu-estalo,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Neomorphus,aves
Pyrrhura pfrimeri,Tiriba-de-orelha-branca,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,aves
Pseudonannolene gogo,,Animalia,Arthropoda,Diplopoda,Spirostreptida,Pseudonannolenidae,Pseudonannolene,outros
Cynolebias leptocephalus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Cynolebias,peixes
Aegla inermis,Egla,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Pseudosinella alfanjeunguiculata,,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Entomobryidae,Pseudosinella,outros
Kingsleya attenboroughi,,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudothelphusidae,Kingsleya,crustaceos
Sapajus flavius,,Animalia,Chordata,Mammalia,Primates,Cebidae,Sapajus,mamiferos
Archisotoma catiae,,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Isotomidae,Archisotoma,outros
Eukoenenia navi,,Animalia,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Eukoenenia,aracnideos
Hypsolebias virgulatus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Iansaoniscus georginae,Tatuzinho-de-jardim,Animalia,Arthropoda,Malacostraca,Isopoda,Pudeoniscidae,Iansaoniscus,crustaceos
Sphyrna media,Cação-martelo,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,peixes
Heptapterus multiradiatus,Bagrinho-do-tietê,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Heptapterus,peixes
Petaloconchus myrakeenae,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Petaloconchus,moluscos
Delturus parahybae,Cascudo,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Delturus,peixes
Fontitrygon colarensis,Arraia Branca Bicuda,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Fontitrygon,peixes
Thoropa petropolitana,,Animalia,Chordata,Amphibia,Anura,Cycloramphidae,Thoropa,anfibios
Anodontites iheringi,Bivalve,Animalia,Mollusca,Bivalvia,Unionida,Mycetopodidae,Anodontites,moluscos
Caaeteboia gaeli,,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Caaeteboia,repteis
Metagonia diamantina,,Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,Metagonia,aracnideos
Poecilia akroa,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,peixes
Psophia obscura,jacamim-de-costas-escuras,Animalia,Chordata,Aves,Gruiformes,Psophiidae,Psophia,aves
Myrmecophaga tridactyla,Tamanduá Bandeira,Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Myrmecophaga,mamiferos
Automolus lammi,barranqueiro-do-nordeste,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Automolus,aves
Carcharodon carcharias,Alequim,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,peixes
Stygichthys typhlops,Piaba-branca,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Stygichthys,peixes
Poneracantha wilsoni,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Poneracantha,insetos
Speothos venaticus,Cachorrinho,Animalia,Chordata,Mammalia,Carnivora,Canidae,Speothos,mamiferos
Eurolophosaurus divaricatus,,Animalia,Chordata,Reptilia,Squamata,Tropiduridae,Eurolophosaurus,repteis
Balaenoptera borealis,Baleia Sei,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,mamiferos
Crypturellus noctivagus noctivagus,Jaó,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,aves
Calamodontophis ronaldoi,Cobra-Espada-do-Paraná,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Calamodontophis,repteis
Psalidodon uberaba,,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Psalidodon,peixes
Pseudosinella serpentinensis,,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Entomobryidae,Pseudosinella,outros
Epinephelus morio,garoupa,Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,Epinephelus,peixes
Sphyrna mokarran,Cambeva,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,peixes
Parapoynx restingalis,mariposa,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Parapoynx,insetos
Proceratophrys sanctaritae,,Animalia,Chordata,Amphibia,Anura,Odontophrynidae,Proceratophrys,anfibios
Mergus octosetaceus,merganso-brasileiro,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,aves
Enyalius capetinga,,Animalia,Chordata,Reptilia,Squamata,Leiosauridae,Enyalius,repteis
Ceratophrys ornata,Intanha,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,anfibios
Rowlandius potiguar,,Animalia,Arthropoda,Arachnida,Schizomida,Hubbardiidae,Rowlandius,aracnideos
Cnesterodon carnegiei,Barrigudinho,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Cnesterodon,peixes
Hypocnemis hypoxantha ochraceiventris,,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Hypocnemis,aves
Sphaenorhynchus canga,,Animalia,Chordata,Amphibia,Anura,Hylidae,Sphaenorhynchus,anfibios
Cycloramphus stejnegeri,,Animalia,Chordata,Amphibia,Anura,Cycloramphidae,Cycloramphus,anfibios
Leposternon scutigerum,Cobra cega,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Leposternon,repteis
Leontopithecus rosalia,Mico-leão-dourado,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Leontopithecus,mamiferos
Monodelphis vossi,catita,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,mamiferos
Hypsolebias carlettoi,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Leopardus munoai,,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,mamiferos
Coryphaspiza melanotis,tentilhão-mascarado,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Coryphaspiza,aves
Platyrinchus niveigularis,Animal,Animalia,Chordata,Aves,Passeriformes,Platyrinchidae,Platyrinchus,aves
Pyriglena pernambucensis,Papa-taocas,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Pyriglena,aves
Cynopoecilus intimus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Cynopoecilus,peixes
Microakodontomys transitorius,Rato-do-campo,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microakodontomys,mamiferos
Chiropotes satanas,Cuxiú,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Chiropotes,mamiferos
Sula sula,Atobá-de-pés-vemelhos,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula,aves
Hyalella caeca,,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,crustaceos
Pyriglena atra,Olho-de-fogo-rendado,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Pyriglena,aves
Galeorhinus galeus,Cacao Tope,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,peixes
Spinus yarrellii,Pintassilgo-baiano,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,aves
Sapajus xanthosternos,Macaco-prego,Animalia,Chordata,Mammalia,Primates,Cebidae,Sapajus,mamiferos
Monocondylaea paraguayana,Bivalve,Animalia,Mollusca,Bivalvia,Unionida,Mycetopodidae,Monocondylaea,moluscos
Garcialebias araucarianus,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Garcialebias,peixes
Sympterygia acuta,,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Sympterygia,peixes
Dactyloa nasofrontalis,,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Dactyloa,repteis
Trichomycterus rubbioli,Bagrinho-de-caverna,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus,peixes
Hylaeamys oniscus,Rato-da-mata-nordestino,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Hylaeamys,mamiferos
Callicebus personatus,Sauá-de-Cara-Preta,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Callicebus,mamiferos
Hermanella amere,,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Hermanella,insetos
Anthinus henselii,,Animalia,Mollusca,Gastropoda,Pulmonata,Bulimulidae,Anthinus,moluscos
Ctenomys bicolor,Tuco-tuco bicolor,Animalia,Chordata,Mammalia,Rodentia,Ctenomyidae,Ctenomys,mamiferos
Holoscolex dossantosi,Minhoca,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Holoscolex,outros
Procellosaurinus tetradactylus,Calanguinho de quatro dedos de Rodrigues,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Procellosaurinus,repteis
Melanorivulus linearis,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Melanorivulus,peixes
Aratinga solstitialis,jandaia-amarela,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,aves
Cacajao spp.,Uacari,Animalia,Chordata,Mammalia,Primates,Cebidae,Cacajao,mamiferos
Grallaria varia distincta,,Animalia,Chordata,Aves,Passeriformes,Grallariidae,Grallaria,aves
Pseudochthonius biseriatus,falso escorpião,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Chthoniidae,Pseudochthonius,aracnideos
Pogonopoma parahybae,Cascudo-leiteiro,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pogonopoma,peixes
Celeus torquatus pieteroyensi,pica-pau-de-colar-preto,Animalia,Chordata,Aves,Piciformes,Picidae,Celeus,aves
Simpsonichthys santanae,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Simpsonichthys,peixes
Placosoma limaverdorum,,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Placosoma,repteis
Hylopezus ochroleucus,pita-formigueira-de-sobrancelha,Animalia,Chordata,Aves,Passeriformes,Grallariidae,Hylopezus,aves
Sporophila falcirostris,Cigarra-verdadeira,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,aves
Dichotomius schiffleri,,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Dichotomius,insetos
Simpsonichthys boitonei,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Simpsonichthys,peixes
Leptolebias marmoratus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Leptolebias,peixes
Cassidulus infidus,,Animalia,Echinodermata,Echinoidea,Cassiduloida,Cassidulidae,Cassidulus,outros
Campylorhamphus cardosoi,arapaçu-do-tapajós,Animalia,Chordata,Aves,Passeriformes,Dendrocolaptidae,Campylorhamphus,aves
Leontopithecus chrysopygus,Mico-leão-preto,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Leontopithecus,mamiferos
Alopoglossus collii,,Animalia,Chordata,Reptilia,Squamata,Alopoglossidae,Alopoglossus,repteis
Hausera hauseri,,Animalia,Platyhelminthes,Rhabditophora,Tricladida,Dimarcusidae,Hausera,outros
Dendrocincla merula badia,Arapaçu-da-taoca-maranhense,Animalia,Chordata,Aves,Passeriformes,Dendrocolaptidae,Dendrocincla,aves
Campellolebias dorsimaculatus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Campellolebias,peixes
Aegla perobae,Egla,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Bothrops alcatraz,Jararaca-de-Alcatrazes,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,repteis
Hypsolebias radiosus,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Otothyris juquiae,Cascudinho-anão,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Otothyris,peixes
Paratrygon aiereba,Arraia Aramassá ou Maramassá,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Potamotrygonidae,Paratrygon,peixes
Liolaemus occipitalis,Lagartinho-da-Praia,Animalia,Chordata,Reptilia,Squamata,Liolaemidae,Liolaemus,repteis
Pseudonannolene spelaea,,Animalia,Arthropoda,Diplopoda,Spirostreptida,Pseudonannolenidae,Pseudonannolene,outros
Iandumoema setimapocu,aranha-alho,Animalia,Arthropoda,Arachnida,Opiliones,Gonyleptidae,Iandumoema,aracnideos
Caparaonia itaiquara,,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Caparaonia,repteis
Odontopeltis giganteus,,Animalia,Arthropoda,Diplopoda,Polydesmida,Chelodesmidae,Odontopeltis,outros
Sotalia guianensis,Boto,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Sotalia,mamiferos
Perigona spelunca,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Perigona,insetos
Arrhopalites lawrencei,,Animalia,Arthropoda,Entognatha,Symphypleona,Arrhopalitidae,Arrhopalites,outros
Nyctibius aethereus aethereus,,Animalia,Chordata,Aves,Nyctibiiformes,Nyctibiidae,Nyctibius,aves
Sotalia fluviatilis,boto cinza,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Sotalia,mamiferos
Contomastix vacariensis,Lagartinho-Pintado,Animalia,Chordata,Reptilia,Squamata,Teiidae,Contomastix,repteis
Pongycarcinia xiphidiourus,,Animalia,Arthropoda,Malacostraca,Isopoda,Calabozoidae,Pongycarcinia,crustaceos
Plesioptopoma curvidens,Cascudinho,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Plesioptopoma,peixes
Rhincodon typus,Tubarão-baleia,Animalia,Chordata,Elasmobranchii,Orectolobiformes,Rhincodontidae,Rhincodon,peixes
Cambeva mboycy,Candiru,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Cambeva,peixes
Thalpomys lasiotis,Rato-do-Cerrado,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Thalpomys,mamiferos
Lagothrix lagothricha poeppigii,Macaco-barrigudo-de-Poeppig,Animalia,Chordata,Mammalia,Primates,Atelidae,Lagothrix,mamiferos
Sternarchorhynchus severii,Ituí,Animalia,Chordata,Actinopterygii,Gymnotiformes,Apteronotidae,Sternarchorhynchus,peixes
Thamnophilus nigrocinereus tschudii,,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Thamnophilus,aves
